Date,Open,High,Low,Close
1/24/20,"14,126.12","14,168.20","13,920.57","13,978.47"
1/31/20,"13,746.64","13,922.44","13,573.04","13,614.10"
2/7/20,"13,964.00","14,069.33","13,912.04","13,931.93"
2/14/20,"13,904.02","14,148.24","13,899.53","14,097.34"
2/21/20,"14,047.91","14,115.95","13,931.13","13,975.78"
2/28/20,"13,654.00","13,654.00","12,024.45","12,380.97"
3/6/20,"12,441.43","13,015.66","12,106.74","12,352.03"
3/13/20,"11,748.61","11,794.00","10,054.47","10,851.98"
3/20/20,"10,413.70","10,413.70","8,953.60","9,133.16"
3/27/20,"9,014.58","10,556.90","8,664.94","10,187.21"
4/3/20,"10,238.13","10,499.80","9,766.81","9,880.63"
4/9/20,"10,264.13","11,272.48","10,233.04","11,136.61"
4/17/20,"11,109.00","11,241.23","10,718.13","11,208.29"
4/24/20,"11,016.88","11,181.81","10,667.29","11,017.90"
5/1/20,"11,106.03","11,675.30","11,011.46","11,058.57"
5/8/20,"10,965.77","11,360.11","10,900.39","11,354.34"
5/15/20,"11,244.25","11,345.43","10,551.55","10,947.32"
5/22/20,"11,282.89","11,477.33","11,247.29","11,331.97"
5/29/20,"11,636.54","11,939.74","11,590.31","11,802.95"
6/5/20,"11,799.92","12,752.15","11,781.88","12,641.44"
6/12/20,"12,734.55","12,836.68","11,636.01","11,867.17"
6/19/20,"11,565.82","12,318.75","11,525.36","11,980.12"
6/26/20,"11,963.30","12,176.43","11,578.81","11,604.43"
7/2/20,"11,683.07","12,138.83","11,605.47","11,991.52"
7/10/20,"12,181.29","12,218.19","11,831.04","12,075.58"
7/17/20,"12,159.75","12,427.49","11,963.50","12,402.74"
7/24/20,"12,413.15","12,617.18","12,352.72","12,461.78"
7/31/20,"12,481.01","12,688.69","12,320.73","12,465.05"
8/7/20,"12,513.21","12,766.05","12,470.47","12,765.84"
8/14/20,"12,797.78","13,010.96","12,794.53","12,902.50"
8/21/20,"12,942.31","12,975.54","12,739.00","12,809.07"
8/28/20,"12,904.95","13,173.97","12,881.40","13,170.96"
9/4/20,"13,134.39","13,299.73","12,723.79","12,917.15"
9/11/20,"12,777.55","12,969.47","12,659.16","12,773.04"
9/18/20,"12,868.31","13,128.68","12,779.40","12,833.57"
9/25/20,"12,617.45","12,833.57","12,228.97","12,485.38"
10/2/20,"12,650.05","12,803.52","12,551.97","12,749.79"
10/9/20,"12,842.49","13,297.00","12,824.20","13,252.62"
10/16/20,"13,289.55","13,350.59","12,960.98","13,169.32"
10/23/20,"13,218.76","13,247.75","12,999.41","13,199.86"
10/30/20,"13,063.80","13,063.81","12,293.75","12,429.28"
11/6/20,"12,573.34","13,270.47","12,535.93","13,218.68"
11/13/20,"13,726.21","13,930.88","13,476.23","13,761.32"
11/20/20,"13,946.19","14,004.61","13,714.27","13,827.00"
11/27/20,"13,934.20","14,271.09","13,911.31","14,198.50"
12/4/20,"14,140.95","14,417.40","13,977.05","14,417.33"
12/11/20,"14,375.55","14,476.68","14,260.89","14,355.29"
12/18/20,"14,445.36","14,529.88","14,214.04","14,467.82"
12/24/20,"14,257.73","14,457.29","14,171.77","14,382.50"
12/31/20,"14,476.35","14,533.21","14,371.87","14,524.80"
1/8/21,"14,601.45","15,006.16","14,258.25","14,966.83"
1/15/21,"14,828.03","15,129.12","14,791.65","14,894.17"
1/22/21,"15,026.64","15,114.11","14,881.38","14,951.84"
1/29/21,"14,951.84","14,995.55","14,328.46","14,397.20"
2/5/21,"14,975.44","15,087.97","14,975.43","15,069.60"
2/12/21,"15,069.60","15,373.77","15,069.60","15,369.60"
2/19/21,"15,370.22","15,483.20","15,205.04","15,362.69"
2/26/21,"15,362.69","15,566.47","14,943.97","15,010.47"
3/5/21,"15,010.47","15,396.52","14,765.55","15,251.83"
3/12/21,"15,251.83","15,717.81","15,236.93","15,715.21"
3/19/21,"15,715.21","15,797.94","15,454.11","15,562.26"
3/26/21,"15,562.26","15,687.18","15,138.69","15,682.54"
4/1/21,"15,682.54","15,752.33","15,522.66","15,752.24"
4/9/21,"15,752.24","15,956.38","15,752.24","15,956.37"
4/16/21,"15,956.37","16,207.10","15,902.16","16,186.29"
4/23/21,"16,186.30","16,246.37","15,887.40","16,206.00"
4/30/21,"16,206.00","16,413.28","16,199.48","16,219.33"
5/7/21,"16,219.33","16,598.02","16,156.99","16,590.43"
5/14/21,"16,590.44","16,685.90","16,030.30","16,415.36"
5/21/21,"16,415.36","16,475.00","16,040.43","16,375.00"
5/28/21,"16,375.00","16,588.69","16,375.00","16,555.66"
6/4/21,"16,555.66","16,718.67","16,530.20","16,708.74"
6/11/21,"16,708.74","16,726.95","16,607.14","16,694.93"
6/18/21,"16,694.93","16,694.93","16,142.50","16,143.95"
6/25/21,"16,143.95","16,678.00","16,143.95","16,658.79"
7/2/21,"16,658.79","16,689.43","16,517.03","16,674.85"
7/9/21,"16,674.85","16,674.84","16,245.48","16,633.30"
7/16/21,"16,633.30","16,681.65","16,345.51","16,364.66"
7/23/21,"16,364.66","16,564.14","15,954.69","16,552.38"
7/30/21,"16,552.38","16,750.67","16,430.52","16,602.29"
8/6/21,"16,602.29","16,775.90","16,509.62","16,748.08"
8/13/21,"16,748.08","16,887.25","16,678.55","16,868.11"
8/20/21,"16,868.11","16,868.11","16,345.40","16,516.68"
8/27/21,"16,516.68","16,858.43","16,516.68","16,844.75"
9/3/21,"16,844.75","16,944.48","16,783.05","16,909.72"
9/10/21,"16,909.72","16,909.72","16,562.62","16,563.48"
9/17/21,"16,563.48","16,689.05","16,442.36","16,460.35"
9/24/21,"16,460.35","16,627.02","15,988.03","16,539.15"
10/1/21,"16,539.15","16,658.52","16,094.50","16,323.74"
10/8/21,"16,323.74","16,601.69","16,096.85","16,517.23"
10/15/21,"16,517.23","16,914.67","16,359.35","16,871.74"
10/22/21,"16,871.74","17,157.39","16,776.61","17,122.24"
10/29/21,"17,122.24","17,228.30","16,920.38","17,016.41"
11/5/21,"17,016.41","17,306.21","17,016.41","17,242.36"
11/12/21,"17,242.36","17,341.78","17,145.00","17,297.66"
11/19/21,"17,297.66","17,364.31","16,965.80","16,973.97"
11/26/21,"16,973.97","17,082.70","16,546.56","16,624.87"
12/3/21,"16,624.87","16,794.55","16,133.21","16,347.87"
12/10/21,"16,347.87","16,923.74","16,347.87","16,856.63"
12/17/21,"16,856.63","16,985.09","16,567.19","16,668.64"
12/23/21,"16,668.64","17,011.48","16,310.57","16,963.44"
12/31/21,"16,963.44","17,238.65","16,963.44","17,164.13"
1/7/22,"17,164.13","17,415.61","17,048.97","17,166.28"
1/14/22,"17,166.28","17,442.54","16,894.91","17,219.06"
1/21/22,"17,219.06","17,219.06","16,362.99","16,397.34"
1/28/22,"16,397.34","16,598.16","15,816.09","16,397.86"
2/4/22,"16,677.40","16,817.27","16,552.37","16,701.58"
2/11/22,"16,701.58","17,160.33","16,600.29","16,664.99"
2/18/22,"16,664.99","16,813.01","16,333.51","16,392.32"
2/25/22,"16,392.32","16,432.79","15,571.36","16,427.96"
3/4/22,"16,427.96","16,434.99","15,954.19","16,129.66"
3/11/22,"16,129.66","16,129.66","15,621.76","15,753.70"
3/18/22,"15,753.70","16,615.96","15,635.77","16,612.64"
3/25/22,"16,612.64","16,794.18","16,514.99","16,792.81"
4/1/22,"16,792.81","17,034.91","16,640.14","16,787.75"
4/8/22,"16,787.75","16,889.38","16,449.77","16,689.95"
4/14/22,"16,689.95","16,693.48","16,419.08","16,511.51"
4/22/22,"16,511.51","16,882.64","16,047.54","16,056.87"
4/29/22,"16,056.87","16,095.69","15,593.23","15,615.25"
5/6/22,"15,615.25","16,139.67","15,324.73","15,566.56"
5/13/22,"15,566.56","15,566.56","14,695.69","15,257.36"
5/20/22,"15,257.36","15,544.55","14,785.20","15,080.98"
5/27/22,"15,080.98","15,942.84","15,056.42","15,942.62"
6/3/22,"15,942.62","15,960.77","15,588.78","15,797.17"
6/10/22,"15,797.17","16,022.83","15,078.14","15,096.69"
6/17/22,"15,096.69","15,096.69","13,993.20","14,097.05"
6/24/22,"14,097.05","14,813.23","14,097.05","14,811.55"
7/1/22,"14,811.55","15,028.05","14,321.16","14,636.76"
7/8/22,"14,636.76","14,726.63","14,217.98","14,642.33"
7/15/22,"14,642.33","14,642.33","13,988.86","14,449.68"
7/22/22,"14,449.68","14,946.33","14,376.88","14,790.79"
7/29/22,"14,790.79","15,354.73","14,761.27","15,327.71"
8/5/22,"15,327.71","15,328.26","15,100.63","15,273.24"
8/12/22,"15,273.24","15,805.77","15,225.20","15,804.39"
8/19/22,"15,804.39","15,897.67","15,555.51","15,588.32"
8/26/22,"15,588.32","15,628.35","15,177.25","15,178.21"
9/2/22,"15,178.21","15,229.26","14,576.65","14,689.50"
9/9/22,"14,689.50","15,222.79","14,562.78","15,190.79"
9/16/22,"15,190.79","15,397.14","14,468.92","14,573.91"
9/23/22,"14,573.91","14,677.53","13,640.88","13,796.99"
9/30/22,"13,796.99","13,894.65","13,466.98","13,472.18"
10/7/22,"13,472.18","14,340.85","13,472.18","13,798.26"
10/14/22,"13,798.26","14,041.95","13,278.56","13,607.31"
10/21/22,"13,607.31","14,207.84","13,607.31","14,144.05"
10/28/22,"14,144.05","14,802.22","14,085.42","14,795.63"
11/4/22,"14,795.63","14,929.38","14,297.06","14,702.78"
11/11/22,"14,702.78","15,388.06","14,568.99","15,352.69"
11/18/22,"15,320.43","15,485.49","15,071.20","15,309.77"
11/25/22,"15,309.77","15,625.72","15,180.19","15,605.67"
12/2/22,"15,605.67","15,854.14","15,350.10","15,767.02"
12/9/22,"15,767.02","15,767.02","15,240.86","15,291.05"
12/16/22,"15,291.05","15,819.15","14,920.18","15,018.17"
12/23/22,"15,018.17","15,250.91","14,866.80","15,188.45"
12/30/22,"15,188.45","15,269.06","15,033.47","15,184.31"
1/6/23,"15,184.31","15,568.90","15,053.17","15,539.74"
1/13/23,"15,539.74","15,940.61","15,464.19","15,918.37"
1/20/23,"15,918.37","15,973.29","15,504.07","15,777.55"
1/27/23,"15,777.55","16,032.12","15,681.80","15,962.58"
2/3/23,"15,962.58","16,222.20","15,809.66","15,999.40"
2/10/23,"15,828.60","15,922.96","15,787.25","15,910.69"
2/17/23,"15,910.69","16,131.75","15,732.77","15,840.16"
2/24/23,"15,840.16","15,840.16","15,347.28","15,464.46"
3/3/23,"15,464.46","15,732.72","15,342.71","15,721.06"
3/10/23,"15,721.07","15,772.65","14,830.91","14,894.18"
3/17/23,"14,894.18","15,044.65","14,471.08","14,599.05"
3/24/23,"14,599.05","15,076.13","14,514.57","14,758.57"
3/31/23,"14,758.57","15,377.02","14,758.57","15,374.91"
4/6/23,"15,374.91","15,514.92","15,304.06","15,379.13"
4/14/23,"15,379.13","15,707.81","15,297.78","15,601.78"
4/21/23,"15,601.78","15,710.47","15,512.62","15,578.93"
4/28/23,"15,578.93","15,623.04","15,201.10","15,545.88"
5/5/23,"15,545.88","15,622.56","15,055.43","15,380.87"
5/12/23,"15,380.87","15,448.71","15,167.78","15,246.36"
5/19/23,"15,246.36","15,421.80","15,128.62","15,324.32"
5/26/23,"15,324.32","15,387.76","14,898.71","15,078.69"
6/2/23,"15,078.69","15,365.70","14,810.57","15,345.19"
6/9/23,"15,345.20","15,557.31","15,258.92","15,499.91"
6/16/23,"15,499.91","15,904.20","15,483.04","15,795.12"
6/23/23,"15,795.12","15,795.12","15,449.75","15,469.35"
6/30/23,"15,469.35","15,908.71","15,469.35","15,875.91"
7/7/23,"15,875.91","15,932.01","15,557.97","15,671.63"
7/14/23,"15,671.63","16,130.71","15,648.68","16,040.23"
7/21/23,"16,040.23","16,324.13","15,977.24","16,289.12"
7/28/23,"16,289.12","16,458.89","16,254.16","16,363.26"
8/4/23,"16,363.26","16,448.00","16,059.83","16,071.06"
8/11/23,"16,071.06","16,319.90","16,025.37","16,143.38"
8/18/23,"16,143.38","16,143.38","15,626.92","15,750.17"
8/25/23,"15,750.17","15,894.31","15,632.57","15,766.91"
9/1/23,"15,766.91","16,152.36","15,766.91","16,091.79"
9/8/23,"16,091.79","16,096.51","15,811.66","15,878.99"
9/15/23,"15,878.99","16,105.86","15,878.99","15,973.68"
9/22/23,"15,973.68","16,029.81","15,561.79","15,569.51"
9/29/23,"15,569.51","15,597.65","15,288.45","15,398.21"
10/6/23,"15,398.21","15,398.21","14,924.95","15,214.02"
10/13/23,"15,214.02","15,524.92","15,166.50","15,323.70"
10/20/23,"15,323.70","15,618.90","15,031.64","15,033.31"
10/27/23,"15,033.31","15,086.10","14,638.37","14,675.78"
11/3/23,"14,675.78","15,539.88","14,675.78","15,475.20"
11/10/23,"15,475.20","15,523.81","15,207.58","15,388.44"
11/17/23,"15,388.44","15,848.54","15,321.53","15,813.46"
11/24/23,"15,813.46","15,998.30","15,782.47","15,983.82"
12/1/23,"15,983.82","16,271.70","15,897.47","16,263.75"
12/8/23,"16,263.75","16,272.93","16,081.78","16,207.76"
12/15/23,"16,207.76","16,774.06","16,194.93","16,609.84"
12/22/23,"16,609.84","16,827.04","16,532.80","16,770.45"
12/29/23,"16,770.45","16,933.62","16,770.45","16,852.89"
1/5/24,"16,852.89","16,894.51","16,690.52","16,758.24"
1/12/24,"16,758.24","16,909.17","16,673.00","16,799.54"
1/19/24,"16,799.54","16,799.54","16,462.86","16,729.55"
1/26/24,"16,729.55","16,970.90","16,729.55","16,949.11"
2/2/24,"16,949.11","17,167.68","16,906.17","17,101.97"
2/9/24,"17,101.97","17,286.47","16,932.56","17,275.87"
2/16/24,"17,275.87","17,502.54","16,965.94","17,409.30"
2/23/24,"17,409.30","17,642.10","17,278.14","17,616.02"
3/1/24,"17,616.02","17,738.15","17,530.60","17,728.27"
3/8/24,"17,728.27","18,021.87","17,613.47","17,889.62"
3/15/24,"17,889.62","18,064.12","17,755.04","17,848.08"
3/22/24,"17,848.09","18,272.72","17,846.09","18,112.04"
3/28/24,"18,112.04","18,342.24","18,059.19","18,312.67"
4/5/24,"18,312.67","18,315.15","17,956.75","18,122.26"
4/12/24,"18,122.26","18,233.23","17,593.55","17,639.04"
4/19/24,"17,639.04","17,827.32","17,336.80","17,458.77"
4/26/24,"17,458.77","17,810.36","17,452.44","17,763.27"
5/3/24,"17,763.27","17,843.97","17,539.80","17,797.89"
5/10/24,"17,797.89","18,213.64","17,797.89","18,162.05"
5/17/24,"18,162.06","18,389.78","18,128.74","18,388.26"
5/24/24,"18,388.26","18,421.92","18,005.06","18,110.60"
5/31/24,"18,110.60","18,116.10","17,780.09","18,083.69"
6/7/24,"18,083.69","18,105.93","17,843.40","17,985.63"
6/14/24,"17,985.63","18,144.67","17,713.48","17,817.26"
6/21/24,"17,817.26","18,049.52","17,762.02","17,995.69"
6/28/24,"17,995.70","18,189.42","17,940.03","18,026.50"
7/5/24,"18,026.50","18,138.31","17,928.86","18,098.90"
7/12/24,"18,098.90","18,591.41","18,022.68","18,505.92"
7/19/24,"18,505.92","18,798.92","18,391.37","18,406.05"
7/26/24,"18,406.05","18,626.88","18,289.65","18,564.48"
8/2/24,"18,564.48","18,841.48","17,991.03","18,162.26"
8/9/24,"18,162.26","18,305.02","17,561.50","18,267.15"
8/16/24,"18,267.15","18,769.86","18,177.31","18,753.77"
8/23/24,"18,753.77","19,099.53","18,753.77","19,093.48"
8/30/24,"19,093.48","19,298.03","18,985.21","19,292.23"
9/6/24,"19,292.23","19,292.23","18,639.83","18,663.14"
9/13/24,"18,663.15","19,161.17","18,513.07","19,121.50"
9/20/24,"19,121.50","19,471.24","19,121.50","19,373.74"
9/27/24,"19,373.74","19,597.32","19,363.21","19,501.22"
10/4/24,"19,501.22","19,541.03","19,317.15","19,538.68"
10/11/24,"19,538.68","19,719.61","19,367.30","19,711.22"
10/18/24,"19,711.22","19,905.65","19,669.80","19,884.81"
10/25/24,"19,884.81","19,884.81","19,438.80","19,456.27"
11/1/24,"19,456.27","19,575.91","19,236.64","19,253.54"
11/8/24,"19,253.54","19,990.34","19,196.39","19,937.13"
11/15/24,"19,937.13","20,084.53","19,609.45","19,645.77"
11/22/24,"19,645.77","20,132.48","19,566.05","20,123.45"
11/29/24,"20,123.45","20,332.50","20,123.45","20,272.04"
12/6/24,"20,272.04","20,315.58","20,083.94","20,107.79"
12/13/24,"20,107.79","20,180.95","19,699.23","19,729.37"
12/20/24,"19,729.37","19,773.05","18,860.61","19,119.44"
12/27/24,"19,119.44","19,387.38","19,009.57","19,238.48"
1/3/25,"19,238.48","19,276.70","18,953.55","19,254.29"
1/10/25,"19,254.29","19,426.84","18,941.51","18,963.01"
1/17/25,"18,963.01","19,673.71","18,857.23","19,607.37"
1/24/25,"19,607.37","20,047.14","19,607.37","19,997.47"
1/31/25,"19,997.47","20,218.73","19,839.44","19,998.82"
2/4/25,"19,998.82","19,998.82","19,639.31","19,964.61"